Data Murano SaccaFisola RioNovo ParcoBissuola viaTagliamento
01/01/2018 44 44 44 61 62
02/01/2018 46 40 43 42 55
03/01/2018 48 50 43 53 58
04/01/2018 39 39 35 44 35
05/01/2018 49 48 43 47 59
06/01/2018 136 133 139 167 159
07/01/2018 43 51 47 54 44
08/01/2018 21 25 22 25 NA
09/01/2018 30 36 31 30 42
10/01/2018 29 26 26 33 31
11/01/2018 22 21 19 23 25
12/01/2018 20 25 17 26 27
13/01/2018 21 25 19 28 32
14/01/2018 17 18 15 22 20
15/01/2018 21 23 14 23 25
16/01/2018 42 45 31 45 44
17/01/2018 42 37 41 42 39
18/01/2018 25 26 18 29 28
19/01/2018 46 49 42 52 58
20/01/2018 24 27 22 30 34
21/01/2018 54 50 30 63 65
22/01/2018 NA 30 26 52 48
23/01/2018 43 48 41 50 54
24/01/2018 65 70 60 72 89
25/01/2018 92 103 91 100 109
26/01/2018 83 91 71 94 106
27/01/2018 65 75 63 85 98
28/01/2018 76 78 76 90 106
29/01/2018 57 59 59 81 96
30/01/2018 58 62 60 64 70
31/01/2018 NA 62 48 56 61
01/02/2018 NA 40 36 47 58
02/02/2018 14 18 17 16 23
03/02/2018 8 9 7 8 11
04/02/2018 27 26 26 28 34
05/02/2018 22 25 24 26 27
06/02/2018 21 26 19 25 25
07/02/2018 18 24 17 15 22
08/02/2018 35 47 60 42 59
09/02/2018 29 39 57 41 51
10/02/2018 27 30 33 32 34
11/02/2018 25 28 20 29 33
12/02/2018 28 26 35 34 37
13/02/2018 12 12 9 13 18
14/02/2018 28 33 NA 38 46
15/02/2018 31 32 28 43 58
16/02/2018 77 85 75 89 115
17/02/2018 56 61 57 67 84
18/02/2018 40 41 58 45 52
19/02/2018 19 19 16 15 22
20/02/2018 23 27 23 24 29
21/02/2018 27 36 26 29 31
22/02/2018 13 16 12 10 12
23/02/2018 12 16 12 11 10
24/02/2018 18 20 21 19 19
25/02/2018 34 35 39 29 30
26/02/2018 21 25 27 28 25
27/02/2018 23 25 25 23 27
28/02/2018 33 38 30 40 42
01/03/2018 47 55 33 53 58
02/03/2018 85 92 111 82 97
03/03/2018 73 75 104 77 84
04/03/2018 46 43 26 47 50
05/03/2018 44 53 31 46 51
06/03/2018 23 27 17 23 27
07/03/2018 44 45 29 50 58
08/03/2018 43 50 50 42 56
09/03/2018 41 43 45 47 62
10/03/2018 39 46 41 43 59
11/03/2018 31 36 38 32 56
12/03/2018 24 21 24 24 33
13/03/2018 38 38 36 35 48
14/03/2018 33 31 36 37 47
15/03/2018 24 26 27 24 30
16/03/2018 14 16 21 11 14
17/03/2018 14 21 25 17 19
18/03/2018 8 8 10 5 6
19/03/2018 12 10 15 12 14
20/03/2018 20 20 30 20 23
21/03/2018 27 28 41 23 27
22/03/2018 20 31 29 15 17
23/03/2018 23 28 32 21 24
24/03/2018 32 34 32 32 38
25/03/2018 29 34 29 35 40
26/03/2018 47 46 42 44 50
27/03/2018 35 37 37 32 44
28/03/2018 37 38 31 34 38
29/03/2018 40 47 53 42 51
